Data,IdPaese,IdFiscaleIVA,CAP,Comune,Provincia,Descrizione,Quantita,PrezzoUnitario,PrezzoTotale
2023-06-30,IT,7e308f24ef0b,40127,Bologna,BO,UOVA ALLEVATE ALL'APERTO X6,4,1.51,6.04
2023-06-30,IT,7e308f24ef0b,40127,Bologna,BO,LATTE CLAM DA AQ 1L REX,24,1.3,31.2
2023-06-30,IT,7e308f24ef0b,40127,Bologna,BO,BEV SOIA BARISTA UHT 1L STELO,4,1.49,5.96
2023-06-30,IT,7e308f24ef0b,40127,Bologna,BO,LATTE CLAM DA AQ 1L REX,12,1.3,15.6
2023-06-30,IT,7e308f24ef0b,40127,Bologna,BO,CIUFFO CUOMO 250G,6,1.45,8.7
2023-06-30,IT,7e308f24ef0b,40127,Bologna,BO,LATTE CLAM DA AQ 1L REX,12,1.3,15.6
2023-06-30,IT,7e308f24ef0b,40127,Bologna,BO,MOZZARELLA 125G X12 GRANAROLO,12,0.93,11.16
2023-03-11,IT,dde05c5a9e8b,20097,SAN DONATO MILANESE,MI,CL 45 COCA COLA ZERO PET,1,8.76,8.76
2023-03-11,IT,dde05c5a9e8b,20097,SAN DONATO MILANESE,MI,LT1 LATTE MICROF INT MC*,10,1.02,10.2
2023-03-11,IT,dde05c5a9e8b,20097,SAN DONATO MILANESE,MI,LT1 LATTE MICROF INT MC*,10,1.02,10.2
2023-03-11,IT,dde05c5a9e8b,20097,SAN DONATO MILANESE,MI,CL.50 ACQUA PANNA NATURALEPET,1,7.68,7.68
2023-03-11,IT,dde05c5a9e8b,20097,SAN DONATO MILANESE,MI,CL 45 COCA COLA PET,1,17.52,17.52
2023-03-11,IT,dde05c5a9e8b,20097,SAN DONATO MILANESE,MI,CL 33 ICHNUSA NON FILTRATA  VP,1,21.12,21.12
2023-03-11,IT,dde05c5a9e8b,20097,SAN DONATO MILANESE,MI,CL 45 COCA COLA PET,1,17.52,17.52
2023-03-11,IT,dde05c5a9e8b,20097,SAN DONATO MILANESE,MI,CL 40 ESTATHE LIMONE PET,1,8.76,8.76
2023-03-11,IT,dde05c5a9e8b,20097,SAN DONATO MILANESE,MI,CL 40 ESTATHE LIMONE PET,1,8.76,8.76
